Date,Consumed Units,Unit Price,Total Price
01-04-2019,1347,7.04,9482.88
02-09-2019,1219,7.04,8581.76
03-09-2019,1109,7.04,7807.36
04-09-2019,988,7.04,6955.52
05-09-2019,954,7.04,6716.16
06-09-2019,1433,7.04,10088.32
07-09-2019,1349,7.04,9496.96
08-09-2019,1134,7.04,7983.36
09-09-2019,965,7.04,6793.6
10-09-2019,976,7.04,6871.04
11-09-2019,1289,7.04,9074.56
12-09-2019,1344,7.04,9461.76
01-09-2020,1291,7.04,9088.64
02-09-2020,1190,7.04,8377.6
03-09-2020,1008,7.04,7096.32
04-09-2020,954,7.04,6716.16
05-09-2020,912,7.04,6420.48
06-09-2020,1355,7.04,9539.2
07-09-2020,1499,7.04,10552.96
08-09-2020,1205,7.04,8483.2
09-09-2020,1104,7.04,7772.16
10-09-2020,974,7.04,6856.96
11-09-2020,987,7.04,6948.48
12-09-2020,1329,7.04,9356.16
